Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Kenya,KEN,2021,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,4.76
Kenya,KEN,2020,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,4.96
Kenya,KEN,2019,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,4.93
Kenya,KEN,2018,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.09
Kenya,KEN,2017,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.24
Kenya,KEN,2016,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.27
Kenya,KEN,2015,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.34
Kenya,KEN,2014,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.13
Kenya,KEN,2013,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,4.96
Kenya,KEN,2012,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,4.9
Kenya,KEN,2011,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.1
Kenya,KEN,2010,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.18
Kenya,KEN,2009,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.44
Kenya,KEN,2008,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.3
Kenya,KEN,2007,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.16
Kenya,KEN,2006,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.4
Kenya,KEN,2005,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.48
Kenya,KEN,2004,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.57
Kenya,KEN,2003,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.48
Kenya,KEN,2002,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.62
Kenya,KEN,2001,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.57
Kenya,KEN,2000,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,5.73
Kenya,KEN,2023,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,67.9
Kenya,KEN,2022,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,65
Kenya,KEN,2021,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,68.2
Kenya,KEN,2020,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,62.7
Kenya,KEN,2019,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,61.7
Kenya,KEN,2018,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,51.6
Kenya,KEN,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,45.8
